,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
2044,Doctoral Theses,La educación en derechos humanos en materiales curriculares para la primera infancia,"Martínez Bello, V. E.",,,,,,,,,,2019,Universidad de Valencia,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=251285,not found,,CIUDADANÍA GLOBAL,
2064,Doctoral Theses,Horizontes para la reformulación de la cooperación universitaria al desarrollo desde una perspectiva de Género entre España y América Latina,"Molina Bayón, M. E.",,,,,,,,,,2019,Universidad Autónoma de Madrid,['Higher education research'],,[],Spanish,https://repositorio.uam.es/handle/10486/686793,not found,,EDUCACIÓN PARA EL DESARROLLO,
2065,Doctoral Theses,La sensibilidad y la competencia intercultural en los estudiantes del grado de Educación Social según el nuevo Espacio Europeo de Educación superior (EEES),"Romero Figuera, J. R.",,,,,,,,,,2019,Universidad de Jaén,['Higher education research'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=255248,not found,,CIUDADANÍA GLOBAL,
2069,Doctoral Theses,"Las campañas de lucha contra la pobreza en la coordinadora de ONG para el desarrollo de España (CONGDE), desde dividendo de paz, invertir en paz, candidata al 0,7 a la pobreza cero (1989-2010)","Álvarez Rivas, D.",,,,,,,,,,2019,Universidad Complutense de Madrid,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://eprints.ucm.es/58861/,not found,,CIUDADANÍA GLOBAL,
2070,Doctoral Theses,Las políticas contra la pobreza en la ciudad de Tarragona en el contexto de bienestar familista del sur de Europa. Los servicios sociales básicos y las escuelas infantiles municipales de 0 a 3 años.,"Sánchez Castiñeira, S.",,,,,,,,,,2019,Universidad de Barcelona,"['community work', 'Informal education including youth work, media']",,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=251405,not found,,CIUDADANÍA GLOBAL,
2096,Doctoral Theses,Efectos de un programa para reforzar la tolerancia hacia los refugiados a través de la empatía histórica. Aplicación con docentes de educación primaria en formación.,"San Pedro Veledo, M. A.",,,,,,,,,,2019,Universidad de Jaén,"['training of trainers', 'Teacher education']",,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=255253,not found,,CIUDADANÍA GLOBAL,
2122,Doctoral Theses,Evaluación de iniciativas de educación ambiental para la conservación de los ecosistemas acuáticos. Una mirada desde el paradigma de la complejidad.,"Galván-Pérez, L.",,,,,,,,,,2019,Universidad de Granada,"['conceptual publications', 'Theoretical']",,[],Spanish,https://digibug.ugr.es/handle/10481/55753,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
2136,Doctoral Theses,Education au développement durable par la pédagogie de projet : Cas de l'Ecole Nationale Supérieure d'Electricité et de Mécanique - Maroc,"Mharzi, H.",,,,,,,,,,2020,"ENSEM Université HASSAN II de
 Casablanca (Morocco)",['Higher education research'],,[],French,https://revues.imist.ma/index.php/MASSALEK/article/view/22657,https://doi.org/10.48403/IMIST.PRSM/massalek-v3i2.22657,,,
2176,Doctoral Theses,Reflecties op wereldburgerschap: in de spiegel van Afghanistan en Nederland,"Azizi, M.B.",,,,,,,,,,2020,Leiden University Scholarly Publications,['Formal Education'],,"['conceptual publications', 'Theoretical']",Dutch,https://scholarlypublications.universiteitleiden.nl/handle/1887/87275,not found,,,
2249,Doctoral Theses,Justicia social en educación: una aproximación desde el análisis crítico del discurso de los docentes,"Bellido Cala, J. A.",,,,,,,,,,2020,Repositorio Institucional - UNED,['Formal Education'],,[],Spanish,http://e-spacio.uned.es/fez/eserv/tesisuned:ED-Pg-Educac-Jabellido/BELLIDO_CALA_JUAN_ANTONIO_Tesis.pdf,not found,,,
2307,Doctoral Theses,The effect of globalization on the quality of higher education in saudi arabia (Doctoral of Philosophy),"Al-Dandani, K.",,,,,,,,,,2020,"Cardinal Stritch University, USA",['Higher education research'],,[],English,https://www.proquest.com/docview/2528569147/2313E4B124C441D1PQ/87?accountid=14511,not found,,,
2308,Doctoral Theses,Transcolonial politics of poverty: Educating the civil society and creating neoliberal citizenship in the periphery (Doctoral of philosophy),"Alawattage, Udeani Prasanga",,,,,,,,,,2020,"University of Toronto, Canada","['community work', 'Informal education including youth work, media']",,"['conceptual publications', 'Theoretical']",English,https://www.proquest.com/docview/2467467790/B4738A16EC8F4154PQ/8?accountid=14511,not found,,,
2309,Doctoral Theses,Global citizenship in higher education: An exploration of students from a hispanic-serving institution in the U.S.A-mexico border,"Alcocer Medina, L. F.",,,,,,,,,,2020,"The University of Texas Rio Grande Valley, USA",['Higher education research'],,[],English,https://www.proquest.com/docview/2452448374/2313E4B124C441D1PQ/52?accountid=14511,not found,,,
2320,Doctoral Theses,Violence and citizenship in 210RW1S34RfeSDcfkexd09rT3st1RW1S34RfeSDcfkexd09rT3-century american documentary poetics,"Avery, F. M.",,,,,,,,,,2020,ProQuest Dissertations & Theses Global,"['conceptual publications', 'Theoretical']",,[],English,https://www.proquest.com/dissertations-theses/violence-citizenship-21-sup-st-century-american/docview/2497240388/se-2?accountid=14511,not found,,,
2334,Doctoral Theses,"""Living on the island but staging the world"": Can drama help children to understand how they belong in the world? A joint exploration of values and identity by primary aged children and their teacher (Doctoral of Philosophy)","Binns, D. C.",,,,,,,,,,2020,Lancaster University,['Formal Education'],,['Policy related research'],English,https://www.proquest.com/docview/2461428855/48AE9711AF444F8DPQ/15?accountid=14511,not found,,,
2347,Doctoral Theses,From Development Education to Global Learning: Exploring Conceptualisations of Theory and Practice Amongst Practitioners in DECs in England (Doctoral of Philosophy),"Bullivant, Andrea",,,,,,,,,,2020,Lancaster University,['Non-formal education'],,"['conceptual publications', 'Theoretical']",English,https://www.proquest.com/docview/2460802965/B241D21B64E44BCEPQ/1?accountid=14511,not found,,,
2351,Doctoral Theses,Cultivating confidence and capacity of global students: Transformative learning in an intercultural leadership program (Doctoral of Philosophy),"Calley, S. A.",,,,,,,,,,2020,"Biola University, USA",['Higher education research'],,[],English,https://www.proquest.com/docview/2407273086/48AE9711AF444F8DPQ/21?accountid=14511,not found,,,
2353,Doctoral Theses,Toward a pedagogy of connectedness: The experience of adolescent students in two aesthetically-oriented schools in Brazil (Doctoral of Philosophy),"Camargo Ramalho, P.",,,,,,,,,,2020,"Columbia University, USA",['Formal Education'],,['Policy related research'],English,https://www.proquest.com/docview/2355928729/DA3DFAD741844D1PQ/3?accountid=14511,not found,,,
2360,Doctoral Theses,"The UNESCO Chairs Program Partnerships: For UNESCO, for Higher Education Institutions, or for Students? (Doctoral of Philosophy)","Cheng, A.",,,,,,,,,,2020,"Lehigh University, Pennsylvania, USA",['Higher education research'],,[],English,https://www.proquest.com/docview/2406932157/7C33EE3CA27E4515PQ/10?accountid=14511,not found,,,
2366,Doctoral Theses,Locating Teachers Perceptions and Practice of Global Citizenship: A Case Study of Three Teachers in the International Baccalaureate Middle Years Programme (Doctoral of Philosophy),"Christoff, A.",,,,,,,,,,2020,Kent State University College. ,['Formal Education'],,"['conceptual publications', 'Theoretical']",English,https://www.proquest.com/docview/2458732367/7C33EE3CA27E4515PQ/7?accountid=14511,not found,,,
2368,Doctoral Theses,Shaping the mindset: A case study of an elementary school international exchange program,"Crane-Cory, J.",,,,,,,,,,2020,University of Hawai'i at Manoa,['Formal Education'],,[],English,https://www.proquest.com/docview/2466892046/2313E4B124C441D1PQ/7?accountid=14511,not found,,,
2369,Doctoral Theses,Developing intercultural competence in short-term exchange trips: A phenomenological study (Doctoral of Philosophy),"D'Antoni, D.",,,,,,,,,,2020,American College of Education,"['community work', 'Informal education including youth work, media']",,['Formal Education'],English,https://www.proquest.com/docview/2488019802/7B3B9DA3AD76416BPQ/17?accountid=14511,not found,,,
2373,Doctoral Theses,Studying abroad: An anti-colonial inquiry (Doctoral of Philosophy),"Deckers, C.",,,,,,,,,,2020,"University of Toronto, Canada",['Higher education research'],,"['Informal education including youth work, media', 'community work']",English,https://www.proquest.com/docview/2424990197/48AE9711AF444F8DPQ/35?accountid=14511,not found,,,
2376,Doctoral Theses,The internationalization of higher education: International graduate students' perspectives on how to enhance university stakeholders' glocal competence (Doctoral of Philosophy),"Diki, Mary Kristin",,,,,,,,,,2020,"Ohio State University, Columbus, USA",['Higher education research'],,"['conceptual publications', 'Theoretical']",English,https://www.proquest.com/docview/2461613721/48AE9711AF444F8DPQ/48?accountid=14511,not found,,,
2377,Doctoral Theses,An evaluation of a global business minor program on the intercultural competence and professional development of students and faculty (Doctoral of Philosophy),"Edmiston-Strasser, D.",,,,,,,,,,2020,"The College of William and Mary, USA",['Higher education research'],,"['Informal education including youth work, media', 'community work']",English,https://www.proquest.com/docview/2420190065/48AE9711AF444F8DPQ/42?accountid=14511,not found,,,
2404,Doctoral Theses,"Pisa, the media and the governance of education policy in england and sweden (Doctoral of Philosophy)","Grey, S. C.",,,,,,,,,,2020,"University College London, UK",['Policy related research'],,[],English,https://www.proquest.com/docview/2412034671/2313E4B124C441D1PQ/24?accountid=14511,not found,,,
2414,Doctoral Theses,"Empathy-Based Pedagogical Approach to Global Citizenship Education: Kazakhstani Secondary 
 Schools Context (Doctoral of Philosophy)","Hanley, Natalya",,,,,,,,,,2020,"University College London, UK",['Formal Education'],,"['conceptual publications', 'Theoretical']",English,https://discovery.ucl.ac.uk/id/eprint/10097678/,not found,,,
2429,Doctoral Theses,Education equity in the global context: Insights from an international organization (Doctoral of Philosophy),"Huynh, M. Q.",,,,,,,,,,2020,"University of Michigan, USA",['Non-formal education'],,"['conceptual publications', 'Theoretical']",English,https://www.proquest.com/docview/2480435955/64ED99A64A024A18PQ/9?accountid=14511,not found,,,
2432,Doctoral Theses,"The ""being"" and ""doing"" of a ""good teacher"" from a soka perspective (Doctoral of Pholosophy)","Inukai, N.",,,,,,,,,,2020,DePaul University,"['training of trainers', 'Teacher education']",,['Formal Education'],English,https://www.proquest.com/docview/2408262619/48AE9711AF444F8DPQ/10?accountid=14511,not found,,,
2435,Doctoral Theses,Internationalization of curriculum in higher education: An action research study on a global engineering track (Doctoral of Philosophy),"Keibler, M. S.",,,,,,,,,,2020,Morehead State University,['Higher education research'],,[],English,https://www.proquest.com/docview/2395317641/48AE9711AF444F8DPQ/11?accountid=14511,not found,,,
2441,Doctoral Theses,Exploring korean elementary school teachers’ perspectives on teaching and the teaching profession under the influence of the global educational reform movement (Doctoral of Philosophy),"Kim, Jiyoung ",,,,,,,,,,2020,University of Washington,['Formal Education'],,[],English,https://www.proquest.com/docview/2461024909/2313E4B124C441D1PQ/61?accountid=14511,not found,,,
2442,Doctoral Theses,Troubling and re-imagining citizenship: Narrative inquiries into immigrant teachers’ positionalities and citizenship education (Doctoral of Philosophy),"Kim, Yeji",,,,,,,,,,2020,"Columbia University, USA",['Formal Education'],,"['Teacher education', 'training of trainers']",English,https://www.proquest.com/docview/2408524380/DA3DFAD741844D1PQ/21?accountid=14511,not found,,,
2450,Doctoral Theses,Effects of higher education internationalization on student learning: Student experiences and perceptions (Doctoral of Philosophy),"Kubo, H.",,,,,,,,,,2020,"California State University, Fresno",['Higher education research'],,"['Informal education including youth work, media', 'community work']",English,https://www.proquest.com/docview/2437382377/48AE9711AF444F8DPQ/17?accountid=14511,not found,,,
2461,Doctoral Theses,Convergent parallel mixed-methods case study: Examining and exploring Teacher’s global competence including perceptions and preparedness at a south-central pennsylvania high school (Doctoral of Philosophy),"Lippert, A. A.",,,,,,,,,,2020,Drexel University,['Formal Education'],,"['Teacher education', 'training of trainers']",English,https://www.proquest.com/docview/2447254841/2313E4B124C441D1PQ/15?accountid=14511,not found,,,
2470,Doctoral Theses,Student perspectives on high school short-term study abroad: The impact on intercultural competence (Doctoral of Philosophy),"Manning, M.",,,,,,,,,,2020,Northeastern University,"['community work', 'Informal education including youth work, media']",,['Formal Education'],English,https://www.proquest.com/docview/2395505035/7B3B9DA3AD76416BPQ/11?accountid=14511,not found,,,
2472,Doctoral Theses,Community College Faculty Internationalizing Curriculum with a Global Perspective for Competition in the Global Economy: A Qualitative Case Study (Doctoral of Philosophy),"Marcette, F.",,,,,,,,,,2020,"Northcentral University, San Diego, US",['Policy related research'],,['Formal Education'],English,https://www.proquest.com/docview/2460693886/7C33EE3CA27E4515PQ/5?accountid=14511,not found,,,
2473,Doctoral Theses,The Effects of Working with Refugees on High School Volunteers (Doctoral of Pholosophy),"Marilyn, P.",,,,,,,,,,2020,"Wilkes University, US",['Formal Education'],,[],English,https://www.proquest.com/docview/2443588332/7C33EE3CA27E4515PQ/4?accountid=14511,not found,,,
2477,Doctoral Theses,A Global Set of Dispositions? Applying Discrete-choice Method to Measure Global Citizenship Dispositions of Secondary-school Students in Two Nations (Doctoral of Philosophy),"Michael, T.",,,,,,,,,,2020,University of Oregon. US,['Formal Education'],,[],English,https://www.proquest.com/dissertations-theses/global-set-dispositions-applying-discrete-choice/docview/2436893355/se-2?accountid=14511,not found,,,
2487,Doctoral Theses,Faculty use of collaborative online international learning (COIL) for internationalization at home (Doctoral of Philosophy),"Mudiamu, S. S.",,,,,,,,,,2020,Portland State University,['Higher education research'],,[],English,https://www.proquest.com/docview/2427238268/7B3B9DA3AD76416BPQ/4?accountid=14511,not found,,,
2490,Doctoral Theses,Fostering Value-Creative Global Citizens: Experiences of Students of Color in Service-Learning (Doctoral of Philosophy),"Nagashima, R.",,,,,,,,,,2020,"University of California, Los Angeles",['Non-formal education'],,['Higher education research'],English,https://www.proquest.com/docview/2480244829/7C33EE3CA27E4515PQ/3?accountid=14511,not found,,,
2498,Doctoral Theses,The qualities that inform global literacy teaching in the US,"Olabisi, J. E.",,,,,,,,,,2020,University of Phoenix,['Formal Education'],,[],English,https://www.proquest.com/docview/2451372862/DA3DFAD741844D1PQ/28?accountid=14511,not found,,,
2511,Doctoral Theses,Multilingualism and Global Education on the Development of Cross-Cultural Intelligence for Students at International Schools (Doctoral of Philosophy),"Petrossian, A.",,,,,,,,,,2020,"Northeastern University Boston, Massachusetts, USA","['conceptual publications', 'Theoretical']",,[],English,https://www.proquest.com/docview/2393748814/E3ECEF9F44034730PQ/11?accountid=14511,not found,,,
2521,Doctoral Theses,Toward a Pedagogy of Connectedness: The Experience of Adolescent Students in Two Aesthetically-Oriented Schools in Brazil (Doctoral of Philosophy),"Ramalho, P.",,,,,,,,,,2020,"Columbia University, USA","['conceptual publications', 'Theoretical']",,[],English,https://www.proquest.com/docview/2355928729/7C33EE3CA27E4515PQ/6?accountid=14511,not found,,,
2543,Doctoral Theses,Academic field influence on acquisition of global awareness in undergraduate study abroad students (Doctoral of Philosophy),"Schmalz, T.",,,,,,,,,,2020,University of Missouri - Saint Louis,['Formal Education'],,[],English,https://www.proquest.com/docview/2426240385/48AE9711AF444F8DPQ/41?accountid=14511,not found,,,
2552,Doctoral Theses,The influence of globally oriented teachers’ positionalities in world history classrooms (Doctoral of Philosophy),"Shatara, H.",,,,,,,,,,2020,"Columbia University, USA","['training of trainers', 'Teacher education']",,['Policy related research'],English,https://www.proquest.com/docview/2395506479/2313E4B124C441D1PQ/3?accountid=14511,not found,,,
2558,Doctoral Theses,The Myth and Reality of Developing Global Citizens: A Qualitative Case Study of Higher Education Internationalization in Japan (Doctoral of Philosophy),"Spero, T.",,,,,,,,,,2020,University of Wisconsin,"['conceptual publications', 'Theoretical']",,['Higher education research'],English,https://www.proquest.com/docview/2364233471/7C33EE3CA27E4515PQ/9?accountid=14511,not found,,,
2577,Doctoral Theses,Moldovan secondary education social studies teachers conceptualization of multicultural approaches to peace education (MAPE) (Doctoral of Philosophy),"Trubceac, A. Ș.",,,,,,,,,,2020,Miami University,"['training of trainers', 'Teacher education']",,['Policy related research'],English,https://www.proquest.com/docview/2447818453/2313E4B124C441D1PQ/23?accountid=14511,not found,,,
2626,Doctoral Theses,Educare alla pace fra emergenza e quotidianità: proposte metodologiche per un approccio globale,"Guaraldi, M.T.",,,,,,,,,,2019,Modena and Reggio Emilia University,['Formal Education'],,[],Italian,https://morethesis.unimore.it/theses/available/etd-03062019-133804/,not found,,,
2627,Doctoral Theses,Dall'educazione interculturale all'educazione globale : immaginare possibili percorsi per l'educazione alla cittadinanza,"Hannachi, L.",,,,,,,,,,2019,"Università degli Studi Enna, Kore","['training of trainers', 'Teacher education']",,[],Italian,,not found,,,
2747,Doctoral Theses,Kkompetenzen für eine Nachhaltige Entwicklung aus der Perspektive beruflicher Praxis. Eine empirische Untersuchung zu idealtypischen subjektiven Theorien über nachhaltigkeitsbezogene Anforderungen in beschäftigungspraktischen Situationen.,"Ruesch Schweizer, Corinne",,,,,,,,,,2020,,['Formal Education'],,[],German,,not found,,,
2790,Doctoral Theses,A Cidadania Planetária Como Tema Transdisciplinar No Currículo De Formação Do Bacharel Em Direito,"Mihaliuc, Katherinne de Macêdo Maciel",,,,,,,,,,,,['Higher education research'],,"['conceptual publications', 'Theoretical']",Portuguese,http://repositorio.ufc.br/handle/riufc/47293,not found,Brazil,Braz team,
2798,Doctoral Theses,Cidadania Planetária: Abordagem Complexa Diante Da Crise Ambiental E Os Posicionamentos Novo-Paradigmático Do Superior Tribunal De Justiça Na Contemporaneidade,"Pires, Nara Suzana Stainr",,,,,,,,,,2016,,"['conceptual publications', 'Theoretical']",,['Formal Education'],Portuguese,https://repositorio.ufsc.br/xmlui/handle/123456789/172185,not found,,Braz team,
2818,Doctoral Theses,Arquétipo Parasito-Hospedeiro: Repensando O Papel Do Ser Humano Na Conservação Da Mãe Terra (Doctoral Dissertation),"Concatto, Ana Maria de Nicoló",,,,,,,,,,2019,,['Higher education research'],,"['conceptual publications', 'Theoretical']",Portuguese,https://www.arca.fiocruz.br/handle/icict/42688,not found,Brazil,Braz team,
2826,Doctoral Theses,Educação Ambiental E Cidadania: Uma Análise A Partir De Teses E Dissertações Brasileiras,"Fassis, F.",,,,,,,,,,2019,,['Higher education research'],,['Formal Education'],Portuguese,https://repositorio.unesp.br/handle/11449/192669,not found,Brazil,Braz team,
2836,Doctoral Theses,Epistemologia Outra E Educação Intercultural Como Alternativa Descolonial,"Mendes, P. E.",,,,,,,,,,2020,Canoas Rs: Unilassale,"['conceptual publications', 'Theoretical']",,['Formal Education'],Portuguese,http://repositorio.unilasalle.edu.br/bitstream/11690/818/1/pemendes.pdf,not found,Brazil,Braz team,
931,Report,Global Citizenship Education through Study Abroad Programs with Service Learning Experiences,KIKUCHI T.,,,,,,,,,,2018,,"['educational partnerships', 'International Volunteering, study visits']",,[],English,http://www3.nufs.ac.jp/~kikuchi/B-NUFS02_04.pdf,,,,
2586,Report,Inclusion and education: all means all. Global Education monitoring report 2020,UNESCO,,,,,,,,,,2020,UNESCO,['Higher education research'],Paris,[],English,https://en.unesco.org/gem-report/report/2020/inclusion,,,,
1,Report,Measuring global citizenship education,"Anderson, K.","Bhattacharya, J.",,,,,,,,,2017,Brookings Institution Press,['Policy related research'],Washington,[],English,https://www.brookings.edu/wp-content/uploads/2017/04/global_20170411_measuring-global-citizenship.pdf,,,,
2,Report,The Anna Lindh Education Handbook: Intercultural Citizenship in the Euro Mediterranean Region,Anna Lindh Foundation,,,,,,,,,,2017,,['Policy related research'],,[],English,http://www.annalindhfoundation.org/citizenship-handbook,,,,
3,Report," Topic Guide: Education, Climate and Environment.  Evidence on Demand","Blum, Nicole",,,,,,,,,,2015,UK Department for International Development,['Policy related research'],London,[],English,http://discovery.ucl.ac.uk/1475345/1/EoD_Topic_Guide_Education_Climate_Environment.pdf,,,,
4,Report,Global Citizenship and Youth Participation.  Schools for Future Youth,"Bourn, Douglas",,,,,,,,,,2016,,['Policy related research'],,[],English,http://discovery.ucl.ac.uk/1475443/1/SFYouth_Transnational%20Report_final%20docx%20(002).pdf,,,,
5,Report,Putting the Voice of Young People at the Heart of Global Citizenship Education.  Schools for Future Youth,"Bourn, Douglas",,,,,,,,,,2017,,['Policy related research'],,[],English,https://sfyouth.eu/index.php/en/mm-about-en/reports/policy-recommendations,,,,
6,Report,The Suas Global Citizenship Programme 2012-2015: External Evaluation Report,"Collins, A.",,,,,,,,,,2016,DP Evaluation,['Policy related research'],"Wallingford, UK",[],English,https://www.suas.ie/wp-content/uploads/2015/07/Suas-Global-Citizenship-Programme-Evaluation-Report-Final-1.pdf,,,,
7,Report,Successful Futures: Independent Review of Curriculum and Assessment Arrangements in Wales,"Donaldson, G.",,,,,,,,,,2015,,['Policy related research'],,[],English,http://dera.ioe.ac.uk/22165/2/150225-successful-futures-en_Redacted.pdf,,,,
8,Report," Gender, Education and Peacebuilding. A Review of Selected Learning for Peace Case Studies. UNICEF. Retrieved from http://s3.amazonaws.com/inee-assets/resources/peic23.pdf","El-Bushra, J.","Rees Smith, E.",,,,,,,,,2016,,['Policy related research'],,[],English,,,,,
9,Report,Challenges to a comprehensive EU migration and asylum policy,"Faure, R.","Gavas, M.","Knoll, A.",,,,,,,,2015,Overseas Development Institute,['Policy related research'],London,[],English,https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/10166.pdf,,,,
10,Report,Global education in Ireland,GENE,,,,,,,,,,2015,,['Policy related research'],,[],English,http://gene.eu/wp-content/uploads/Gene_NationalReport-Ireland.pdf,,,,
11,Report,The state of global education in Europe 2015,GENE,,,,,,,,,,2015,,['Policy related research'],,[],English,http://gene.eu/wp-content/uploads/State-of-GE-2015-with-covers.pdf,,,,
12,Report,Global education in Belgium,GENE,,,,,,,,,,2016,,['Policy related research'],,[],English,http://gene.eu/wp-content/uploads/Belgium-Peer-Review-Report-with-cover.pdf,,,,
13,Report,Global education in Cyprus,GENE,,,,,,,,,,2017,,['Policy related research'],,[],English,http://gene.eu/wp-content/uploads/2017-10-10-Cyprus-Peer-Review.pdf,,,,
14,Report,The state of global education in Europe 2017,GENE,,,,,,,,,,2017,,['Policy related research'],,[],English,http://gene.eu/wp-content/uploads/State-of-Global-Education-2017-low-res.pdf,,,,
15,Report,Crosscutting Issues in global education 2015: an analytical framework for policy learning,"Hartmeyer, Helmuth","Wegimont, Liam ",,,,,,,,,2016,GENE,['Policy related research'],Dublin,[],English,http://gene.eu/wp-content/uploads/GENE-Policy-paper-2016-Cross-Cutting-Issues-and-Policy-Learning.pdf,,,,
16,Report," Gender, peace and security and the 2030 Agenda: a way forward for South Africa","Möller-Loswick, A.","Naidoo, T.","Smith, R.","Dhlamini, M.","Mawowa, S.",,,,,,2016,Saferworld,['Policy related research'],London,[],English,http://www.salo.org.za/wp-content/uploads/2016/04/Gender-peace-and-security-the-2030-Agenda-spreads-21-3.pdf,,,,
17,Report,Teaching for Global Competence in a Rapidly Changing World,OECD/Asia Society,,,,,,,,,,2018,,['Policy related research'],,[],English,https://asiasociety.org/sites/default/files/inline-files/teaching-for-global-competence-in-a-rapidly-changing-world-edu.pdf,,,,
18,Report,Education for Global Citizenship: A guide for schools,Oxfam.,,,,,,,,,,2015,,['Policy related research'],,[],English,https://www.oxfam.org.uk/education/resources/education-for-global-citizenship-a-guide-for-schools,,,,
19,Report,Global competency for an inclusive world.  Organization for Economic Co-operation and Development(OECD),"Schleicher, A.","Ramos, G.",,,,,,,,,2018,,['Policy related research'],,[],English,https://www.oecd.org/education/Global-competency-for-an-inclusive-world.pdf,,,,
20,Report,The Status of Education for Sustainable Development (ESD) in the United States: A 2015 Report to the U.S. Department of State. Retrieved from https://www.sustainabilityprofessionals.org/sites/default/files/ESD%20in%20the%20United%20States%20final.pdf,"Smith, K.",,,,,,,,,,2015,,['Policy related research'],,[],English,,,,,
21,Report,Intersecting Inequalities: Research to Reduce Inequality for Immigrant-Origin Children and Youth,"Suarez-Orozco, C.","Yoshikawa, Hirokazu","Tseng, V.",,,,,,,,2015,William T. Grant Foundation,['Policy related research'],New York,[],English,http://wtgrantfoundation.org/library/uploads/2015/09/Intersecting-Inequalities-Research-to-Reduce-Inequality-for-Immigrant-Origin-Children-and-Youth.pdf,,,,
22,Report,Global Citizenship Education in Europe: A Comparative Study on Education Policies across 10 EU Countries,"Tarozzi, Massimiliano. (Ed.)",,,,,,,,,,2016,Global Schools,['Policy related research'],Italy,[],English,http://www.globalschools.education/Activities/Research,,,,
23,Report,Global Citizenship Education : topics and learning objectives,UNESCO.,,,,,,,,,,2015,,['Policy related research'],,[],English,http://unesdoc.unesco.org/images/0023/002329/232993e.pdf,,,,
24,Report,Rethinking Education: Toward a global common good?,UNESCO.,,,,,,,,,,2015,,['Policy related research'],,[],English,http://www.unesco.org/fileadmin/MULTIMEDIA/FIELD/Cairo/images/RethinkingEducation.pdf,,,,
114,Report,The elusive and exclusive global citizen,"Koyama, J.",,,,,,,,,,2016,Mahatma Gandhi Institute of Education for Peace and Sustainable Development,"['conceptual publications', 'Theoretical']","New Delhi, India",[],English,http://mgiep.unesco.org/wp-content/uploads/2016/01/the-elusive-and-exclusive-global-citizen.pdf,,,,
115,Report,Globalization and the Neoliberal Imaginary of Educational Reform,"Rizvi, Fazal",,,,,,,,,,2017,UNESCO,"['conceptual publications', 'Theoretical']",Paris,[],English,http://repositorio.minedu.gob.pe/handle/MINEDU/5283,,,,
198,Report,Can Global Learning Raise Standards within Pupils' Writing in the Primary Phase? ,"Alcock, H. L.","Barker, L. R.",,,,,,,,,2016,"DERC, UCL Institute of Education",['Formal Education'],,[],English,http://discovery.ucl.ac.uk/1503403/1/DERC-Research-paper_16-pweb.pdf,,,,
199,Report,Primary Education for Global Learning And Sustainability.  Cambridge Primary Review Trust,"Bourn, Douglas","Hunt, Frances","Blum, Nicole","Lawson, H.",,,,,,,2016,,['Formal Education'],,[],English,http://discovery.ucl.ac.uk/id/eprint/1475170,,,,
200,Report,"British Values, character education and global learning: reflections and implications for GLP England","Bowden, R.",,,,,,,,,,2015,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://clients.squareeye.net/uploads/glp/GLP_pdfs/Resources/Topics/Values/British_values_and_GLP.pdf,,,,
201,Report,Young people's understandings of global poverty,"Brown, Kate",,,,,,,,,,2015,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://discovery.ucl.ac.uk/1503404/1/DERCrp14brown_web.pdf,,,,
202,Report,Global Learning in England: Baseline Analysis of the Global Learning Programme Whole School Audit 2013-14,"Hunt, Frances","Cara, O.",,,,,,,,,2015,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://discovery.ucl.ac.uk/1473866/1/franhuntGlobal_Learning_in_England_Baseline.pdf,,,,
203,Report,Supporting whole school approaches to global learning: focusing learning and mapping impact,"Hunt, Frances","King, R. P.",,,,,,,,,2015,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://discovery.ucl.ac.uk/1473867/1/franhunt2015supportingwholeschoolapproachestogloballearning.pdf,,,,
204,Report,Schools for Future Youth Evaluation Report: Developing young people as active global citizens,"Hunt, Frances",,,,,,,,,,2017,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://discovery.ucl.ac.uk/10030832/,,,,
205,Report,"A study to investigate, explore and identify successful ‘interventions’ to support teachers in a transformative move from a charity mentality to a social justice mentality","Simpson, Jen",,,,,,,,,,2016,"DERC, UCL Institute of Education",['Formal Education'],London,[],English,http://clients.squareeye.net/uploads/glp/GLP_pdfs/Research/Jen_Simpson_study.pdf,,,,
206,Report,Global Citizenship Education in Europe.  A Comparative Study on Education Policies across 10 EU Countries,"Tarozzi, Massimiliano. (Ed.)","Inguaggiato, Carla",,,,,,,,,2016,Global Schools,['Formal Education'],"Trento, Italy",[],English,http://www.globalschools.education/News/Is-GCE-integrated-in-primary-education-in-Europe,,,,
301,Report,A review of education for sustainable development and global citizenship education in teacher education,"Bourn, Douglas","Hunt, Frances","Bamber, Philip",,,,,,,,2017,UNESCO,"['training of trainers', 'Teacher education']",Paris,[],English,http://unesdoc.unesco.org/images/0025/002595/259566e.pdf,,,,
